EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 07-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPAIN, TORTOSA - OBSERVATORIO DEL EBRO (STAID: 236).
Blended and updated with sources: 100729 155245 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
155245,19050101,    0,    0
155245,19050102,    0,    0
155245,19050103,    0,    0
155245,19050104,    0,    0
155245,19050105,    0,    0
155245,19050106,    0,    0
155245,19050107,    0,    0
155245,19050108,    0,    0
155245,19050109,    0,    0
155245,19050110,    0,    0
155245,19050111,    0,    0
155245,19050112,    0,    0
155245,19050113,    0,    0
155245,19050114,    0,    0
155245,19050115,    0,    0
155245,19050116,    0,    0
155245,19050117,    0,    0
155245,19050118,    0,    0
155245,19050119,    0,    0
155245,19050120,    0,    0
155245,19050121,   54,    0
155245,19050122,    2,    0
155245,19050123,   21,    0
155245,19050124,    0,    0
155245,19050125,    0,    0
155245,19050126,    0,    0
155245,19050127,    0,    0
155245,19050128,    0,    0
155245,19050129,    0,    0
155245,19050130,    0,    0
155245,19050131,    0,    0
155245,19050201,    0,    0
155245,19050202,    0,    0
155245,19050203,    0,    0
155245,19050204,    0,    0
155245,19050205,    0,    0
155245,19050206,    0,    0
155245,19050207,    0,    0
155245,19050208,    0,    0
155245,19050209,    0,    0
155245,19050210,   14,    0
155245,19050211,    0,    0
155245,19050212,    0,    0
155245,19050213,    0,    0
155245,19050214,    0,    0
155245,19050215,    0,    0
155245,19050216,    0,    0
155245,19050217,    0,    0
155245,19050218,    0,    0
155245,19050219,    0,    0
155245,19050220,    0,    0
155245,19050221,    0,    0
155245,19050222,    0,    0
155245,19050223,    0,    0
155245,19050224,    0,    0
155245,19050225,    0,    0
155245,19050226,    0,    0
155245,19050227,   38,    0
155245,19050228,    0,    0
155245,19050301,   47,    0
155245,19050302,    0,    0
155245,19050303,    0,    0
155245,19050304,    0,    0
155245,19050305,    0,    0
155245,19050306,    0,    0
155245,19050307,    0,    0
155245,19050308,    0,    0
155245,19050309,    0,    0
155245,19050310,    0,    0
155245,19050311,    0,    0
155245,19050312,    0,    0
155245,19050313,    0,    0
155245,19050314,    0,    0
155245,19050315,    0,    0
155245,19050316,    0,    0
155245,19050317,    0,    0
155245,19050318,    0,    0
155245,19050319,    0,    0
155245,19050320,    0,    0
155245,19050321,    0,    0
155245,19050322,    0,    0
155245,19050323,    0,    0
155245,19050324,    0,    0
155245,19050325,    0,    0
155245,19050326,    0,    0
155245,19050327,    0,    0
155245,19050328,    0,    0
155245,19050329,    0,    0
155245,19050330,    0,    0
155245,19050331,    0,    0
155245,19050401,    0,    0
155245,19050402,    0,    0
155245,19050403,    0,    0
155245,19050404,    0,    0
155245,19050405,    0,    0
155245,19050406,    0,    0
155245,19050407,    0,    0
155245,19050408,    0,    0
155245,19050409,    0,    0
155245,19050410,   43,    0
155245,19050411,    5,    0
155245,19050412,    0,    0
155245,19050413,    4,    0
155245,19050414,    0,    0
155245,19050415,    7,    0
155245,19050416,    0,    0
155245,19050417,    0,    0
155245,19050418,    0,    0
155245,19050419,   15,    0
155245,19050420,    0,    0
155245,19050421,    0,    0
155245,19050422,    0,    0
155245,19050423,    0,    0
155245,19050424,    0,    0
155245,19050425,    0,    0
155245,19050426,    0,    0
155245,19050427,    0,    0
155245,19050428,    0,    0
155245,19050429,    0,    0
155245,19050430,    0,    0
155245,19050501,    0,    0
155245,19050502,    0,    0
155245,19050503,    0,    0
155245,19050504,    7,    0
155245,19050505,    0,    0
155245,19050506,    0,    0
155245,19050507,    0,    0
155245,19050508,    0,    0
155245,19050509,    0,    0
155245,19050510,    0,    0
155245,19050511,    0,    0
155245,19050512,    0,    0
155245,19050513,    0,    0
155245,19050514,    0,    0
155245,19050515,    0,    0
155245,19050516,   12,    0
155245,19050517,    0,    0
155245,19050518,    0,    0
155245,19050519,    0,    0
155245,19050520,    0,    0
155245,19050521,    0,    0
155245,19050522,    0,    0
155245,19050523,  130,    0
155245,19050524,    0,    0
155245,19050525,    0,    0
155245,19050526,   30,    0
155245,19050527,    0,    0
155245,19050528,  124,    0
155245,19050529,    0,    0
155245,19050530,    0,    0
155245,19050531,    0,    0
155245,19050601,    0,    0
155245,19050602,    0,    0
155245,19050603,    0,    0
155245,19050604,    0,    0
155245,19050605,    0,    0
155245,19050606,    0,    0
155245,19050607,  160,    0
155245,19050608,   27,    0
155245,19050609,   65,    0
155245,19050610,    4,    0
155245,19050611,   13,    0
155245,19050612,    0,    0
155245,19050613,   23,    0
155245,19050614,   40,    0
155245,19050615,    0,    0
155245,19050616,    0,    0
155245,19050617,    0,    0
